UID,Lat,Lon,CO,PM10,PM25,AQI
310,37.48822,-120.83592,1.8,14,5,37
317,33.83061,-117.9385,2.5,40,43,43
324,39.77919,-121.59135,1.9,8,13,29
325,34.21014,-118.8705,2.3,29,46,46
326,39.15047,-123.20655,,,57,57
327,33.27275,-115.90062,,47,25,36
328,36.84343,-121.3621,2.3,13,13,26
329,-23.4892079,-46.6741555,,4,,7
330,-21.1860297,-50.4394393,,15,,15
331,-48.1864714,-21.7829663,,30,,30
332,-22.329295,-49.0905538,,12,,12
333,-22.9028433,-47.0571098,8.2,20,,20
334,-23.6667239,-46.7816448,,13,,13
335,-23.5239623,-46.8411243,1,30,,30
336,-21.1420049,-48.9829903,,7,,7
337,-23.5502041,-46.6784605,7.3,14,,14
338,-23.6186305,-46.6482747,8.2,1,21,21
339,-23.880185,-46.4179827,,4,,6
340,-23.8436848,-46.377867,,29,,29
341,-46.389992,-23.8508082,,51,,51
342,-23.6818396,-46.620967,,22,,22
343,-23.4562135,-46.5182887,,12,17,17
344,-23.5804482,-46.6638124,1,,13,13
345,-23.6824703,-46.676091,,16,,16
346,,,,,,
347,-23.5019101,-46.4204122,,10,42,42
348,-23.5817434,-46.462333,,,,5
349,-23.2978962,-45.9676625,,20,,20
350,-22.2995131,-48.5650057,,10,,10
351,-23.6527809,-46.7123885,,15,,15
352,-23.5094696,-46.7094213,8.2,21,57,57
353,-22.1998744,-49.9599878,,18,,18
354,-46.4655954,-23.6693596,,4,,3
355,-23.5603265,-46.5995903,4.6,28,,28
356,-46.5111479,-23.6033222,,18,,18
357,-23.5279275,-46.8143874,6.4,7,,7
358,-21.4649748,-49.2246518,6.4,27,17,27
359,-23.5406338,-46.6320967,3.7,18,17,18
360,-22.7650153,-47.1500274,,10,,10
361,-22.6794457,-47.6824383,,14,,14
362,-23.5630037,-46.6864347,5.5,12,30,30
363,-22.7007113,-47.651941,,37,38,38
364,-22.1205834,-51.4053949,,10,,10
365,-21.1551602,-47.8276963,,,,
366,,,,38,,
367,-23.645681,-46.4933389,,10,,10
368,-23.5406338,-46.6320967,8.2,18,,18
369,-46.6263306,-23.498181,,,,5
370,-23.6600932,-46.6552137,5.5,14,,14
371,-23.9628155,-46.3202369,,9,,9
372,-46.3000817,-23.9821223,,10,13,13
373,-23.6233625,-46.5552433,1,18,,18
374,-20.7846581,-49.3981148,,50,21,50
375,,,,,,
376,-23.5026065,-47.4776113,,15,,15
377,-23.6090545,-46.7559386,6.4,18,,18
378,-22.97572,-47.0039545,,19,,19
379,-12.1005158,-76.9931074,6,,52,52
380,-12.0685169,-77.0413344,3,23,51,51
381,-12.0429356,-76.958545,8,40,58,58
382,-12.1580556,-76.9294444,7,96,57,96
